Cave	RefPassage	RefStation	Passage	Station	Start	End	Depth	Length	Azimuth	Inclination	LRUDs	Left	Right	Up	Down	ProfileX	ProfileY	Profile	Instrument	Direction	Weight	Loop	Colour	Level	Date	Surveyor	Title	Info	Material	Tasks	Comment	RefCave	RefX	RefY	RefZ	X	Y	Z	State
1323/42	1	41	4	1	0	0	0.00	8.50	2	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/03/1990	0							27.44	105.41	-397.30	27.74	113.91	-397.30	
1323/42	1	76	5	1	0	0	0.00	12.90	210	-20	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	4	1	08/26/1991	0							39.21	168.38	-645.70	33.15	157.88	-650.11	
1323/42	1	19	10	1	0	0	0.00	3.60	110	55	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	09/19/1994	0	Quergang						28.20	28.47	-104.08	30.14	27.76	-101.14	
1323/42	10	1	10	2	0	0	0.00	5.10	125	10	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	09/19/1994	0							30.14	27.76	-101.14	34.25	24.88	-100.25	
1323/42	10	2	10	3	0	0	0.00	4.10	100	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	09/19/1994	0	P17						34.25	24.88	-100.25	38.29	24.17	-100.25	
1323/42	10	3	10	4	0	0	0.00	9.50	50	-75	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	09/19/1994	0							38.29	24.17	-100.25	40.17	25.75	-109.43	
1323/42	10	4	10	5	0	0	0.00	8.70	15	-70	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	09/19/1994	0							40.17	25.75	-109.43	40.94	28.62	-117.60	
1323/42	10	5	10	6	0	0	0.00	5.80	110	25	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	09/19/1994	0							40.94	28.62	-117.60	45.88	26.82	-115.15	
1323/42	10	6	10	7	0	0	0.00	13.00	110	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	09/19/1994	0	P38						45.88	26.82	-115.15	58.10	22.38	-115.15	
1323/42	10	7	10	8	0	0	0.00	19.00	50	-75	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	09/19/1994	0							58.10	22.38	-115.15	61.87	25.54	-133.50	
1323/42	10	8	10	9	0	0	0.00	8.80	30	-85	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	09/19/1994	0							61.87	25.54	-133.50	62.25	26.20	-142.27	
1323/42	10	9	10	10	0	0	0.00	13.20	50	-55	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	09/19/1994	0							62.25	26.20	-142.27	68.05	31.07	-153.08	
1323/42	10	10	10	11	0	0	0.00	8.00	40	-65	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	09/19/1994	0							68.05	31.07	-153.08	70.22	33.66	-160.33	
1323/42	10	11	10	12	0	0	0.00	8.00	85	-40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	09/19/1994	0	P55						70.22	33.66	-160.33	76.33	34.19	-165.48	
1323/42	10	12	10	13	0	0	0.00	15.00	355	-60	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	09/19/1994	0							76.33	34.19	-165.48	75.67	41.66	-178.47	
1323/42	10	13	10	14	0	0	0.00	13.50	0	-65	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	09/19/1994	0							75.67	41.66	-178.47	75.67	47.37	-190.70	
1323/42	10	14	10	15	0	0	0.00	21.50	45	-75	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	09/19/1994	0							75.67	47.37	-190.70	79.61	51.30	-211.47	
1323/42	10	15	10	16	0	0	0.00	14.40	3	-50	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	08/05/1996	0	P11						79.61	51.30	-211.47	80.09	60.55	-222.50	
1323/42	10	16	10	17	0	0	0.00	11.60	0	-75	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	08/05/1996	0							80.09	60.55	-222.50	80.09	63.55	-233.70	
1323/42	10	17	10	18	0	0	0.00	5.00	75	-40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	2	09/19/1994	0	Verschwörungshalle						80.09	63.55	-233.70	83.79	64.54	-236.92	
1323/42	10	18	10	19	0	0	0.00	12.50	165	-5	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	2	2	09/19/1994	0	Biwak 2, P19						83.79	64.54	-236.92	87.02	52.51	-238.01	
1323/42	10	19	10	20	0	0	0.00	4.55	200	-70	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	2	3	08/05/1996	0							87.02	52.51	-238.01	86.48	51.05	-242.28	
1323/42	10	20	10	21	0	0	0.00	15.10	120	-80	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	2	3	08/05/1996	0							86.48	51.05	-242.28	88.76	49.74	-257.15	
1323/42	10	21	10	22	0	0	0.00	10.80	322	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0.5	0	0	2	3	08/05/1996	0							88.76	49.74	-257.15	82.11	58.25	-257.15	
1323/42	10	22	10	23	0	0	0.00	11.55	0	30	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0.5	0	0	2	3	08/05/1996	0	P14						82.11	58.25	-257.15	82.11	68.25	-251.38	
1323/42	10	23	10	24	0	0	0.00	14.30	62	-74	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	3	08/05/1996	0	Sambucca-Halle						82.11	68.25	-251.38	85.59	70.10	-265.12	
1323/42	10	24	10	25	0	0	0.00	5.20	295	10	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	3	08/05/1996	0	P19						85.59	70.10	-265.12	80.94	72.27	-264.22	
1323/42	10	25	10	26	0	0	0.00	13.80	31	-80	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	3	08/05/1996	0	Teufelsfinger						80.94	72.27	-264.22	82.18	74.32	-277.81	
1323/42	10	26	10	28	0	0	0.00	8.55	23	32	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	3	08/05/1996	0							82.18	74.32	-277.81	85.01	81.00	-273.28	
1323/42	10	28	10	29	0	0	0.00	3.15	23.5	10	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	3	08/05/1996	0							85.01	81.00	-273.28	86.25	83.84	-272.73	
1323/42	10	29	10	30	0	0	0.00	15.05	86	24	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	3	08/05/1996	0							86.25	83.84	-272.73	99.96	84.80	-266.61	
1323/42	10	5	11	1	0	0	0.00	6.60	290	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	2	2	09/19/1994	0							40.94	28.62	-117.60	34.74	30.88	-117.60	
1323/42	11	1	11	2	0	0	0.00	4.00	240	25	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	2	2	09/19/1994	0							34.74	30.88	-117.60	31.60	29.07	-115.91	
1323/42	10	18	12	1	0	0	0.00	9.10	82	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0	0	2	2	09/19/1994	0							83.79	64.54	-236.92	92.80	65.81	-236.92	
1323/42	10	21	15	1	0	0	0.00	4.25	130	-10	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	2	3	08/05/1996	0							88.76	49.74	-257.15	91.96	47.05	-257.89	
1323/42	10	24	16	1	0	0	0.00	5.93	226	-23	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	2	3	08/05/1996	0							85.59	70.10	-265.12	81.66	66.31	-267.44	
1323/42	16	1	16	2	0	0	0.00	11.00	155	-32	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	2	3	08/05/1996	0							81.66	66.31	-267.44	85.60	57.86	-273.27	
1323/42	16	2	16	3	0	0	0.00	6.60	5	21	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	2	3	08/05/1996	0	P12						85.60	57.86	-273.27	86.14	64.00	-270.91	
